id,name,released,rating,platforms,genres,tags,esrb_rating,developers,metacritic,playtime,background_image
3498,Grand Theft Auto V,2013-09-17,4.47,"PC, PlayStation 5, Xbox Series S/X, PlayStation 4, PlayStation 3, Xbox 360, Xbox One",Action,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Co-op, Open World, cooperative, First-Person, Third Person, Funny, Sandbox, Comedy, Third-Person Shooter, Moddable, Crime, vr mod",Mature,"Rockstar North, Rockstar Games",92.0,74,https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg
3328,The Witcher 3: Wild Hunt,2015-05-18,4.65,"Xbox Series S/X, PlayStation 5, macOS, PlayStation 4, Nintendo Switch, PC, Xbox One","Action, RPG","Singleplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, Third Person, Fantasy, Sandbox, Action RPG, Dark, Nudity, controller support, Choices Matter, Dark Fantasy, Mature, Medieval, Magic, Multiple Endings",Mature,CD PROJEKT RED,92.0,43,https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg
4200,Portal 2,2011-04-18,4.59,"PlayStation 3, PC, Xbox 360, Linux, macOS, Xbox One","Shooter, Puzzle","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Co-op, Story Rich, cooperative, First-Person, Sci-fi, FPS, Online Co-Op, Funny, Female Protagonist, Comedy, Local Co-Op, stats, Steam Workshop, Space, Includes level editor, Captions available, Commentary available, Science",Everyone 10+,Valve Software,95.0,11,https://media.rawg.io/media/games/2ba/2bac0e87cf45e5b508f227d281c9252a.jpg
4291,Counter-Strike: Global Offensive,2012-08-21,3.56,"PC, Linux, Xbox 360, PlayStation 3",Shooter,"Steam Achievements, Multiplayer, Full controller support, steam-trading-cards, Co-op, cooperative, First-Person, FPS, Online Co-Op, Tactical, stats, Steam Workshop, PvP, Moddable, War, In-App Purchases, Realistic, Team-Based, Fast-Paced, Military, Competitive, Valve Anti-Cheat enabled, e-sports, Trading",Mature,"Valve Software, Hidden Path Entertainment",81.0,64,https://media.rawg.io/media/games/736/73619bd336c894d6941d926bfd563946.jpg
5286,Tomb Raider (2013),2013-03-05,4.06,"PlayStation 3, Xbox 360, macOS, PC, Xbox One, PlayStation 4",Action,"Singleplayer, Multiplayer, Full controller support, Atmospheric, RPG, Third Person, Exploration, Classic, Female Protagonist, Stealth, Action-Adventure, Third-Person Shooter, Retro, Cinematic, Quick-Time Events, Dinosaurs, Lara Croft",Mature,Crystal Dynamics,86.0,10,https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg
13536,Portal,2007-10-09,4.49,"macOS, PC, Android, PlayStation 3, Xbox 360, Linux, Nintendo Switch","Action, Puzzle","Singleplayer, Steam Achievements, Atmospheric, Great Soundtrack, Story Rich, First-Person, Sci-fi, Partial Controller Support, FPS, Funny, Classic, Female Protagonist, Comedy, Includes level editor, Captions available, Short, Physics, Dark Humor, Commentary available, Includes Source SDK, Science",Teen,"Valve Software, NVIDIA Lightspeed Studios",90.0,4,https://media.rawg.io/media/games/7fa/7fa0b586293c5861ee32490e953a4996.jpg
12020,Left 4 Dead 2,2009-11-17,4.09,"Xbox 360, Linux, PC, macOS","Action, Shooter","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Co-op, cooperative, First-Person, Horror, FPS, Online Co-Op, Gore, Survival, Local Co-Op, Tactical, stats, Steam Workshop, Zombies, Moddable, Survival Horror, Post-apocalyptic, Captions available, Replay Value, Team-Based, Valve Anti-Cheat enabled, Commentary available, Includes Source SDK",Mature,"Valve Software, Turtle Rock Studios",89.0,9,https://media.rawg.io/media/games/d58/d588947d4286e7b5e0e12e1bea7d9844.jpg
5679,The Elder Scrolls V: Skyrim,2011-11-11,4.42,"PC, Xbox Series S/X, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3","Action, RPG","Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, Open World, First-Person, Third Person, Partial Controller Support, Fantasy, Sandbox, Action RPG, Steam Workshop, role-playing, Moddable, Character Customization, Dark Fantasy, Medieval, Magic, Lore-Rich, Dragons",Mature,Bethesda Game Studios,94.0,46,https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg
28,Red Dead Redemption 2,2018-10-26,4.59,"PC, PlayStation 4, Xbox One",Action,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Co-op, Story Rich, Open World, First-Person, Third Person, Partial Controller Support, FPS, Online Co-Op, Gore, Exploration, Sandbox, Violent, Third-Person Shooter, PvP, In-App Purchases, Mature, Realistic, Historical, Cinematic, Crime, Online PvP, 3rd-Person Perspective, Blood, America, Masterpiece, Beautiful, Hunting, Western, 3rd-person",Mature,Rockstar Games,96.0,21,https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg
4062,BioShock Infinite,2013-03-26,4.38,"PlayStation 4, Xbox 360, Nintendo Switch, Linux, PC, PlayStation 3, Xbox One","Action, Shooter","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, First-Person, Sci-fi, FPS, Fantasy, Gore, Controller, Dystopian, Linear, Steampunk, Alternate History, Time Travel, Political",Mature,"Aspyr Media, 2K Australia, Irrational Games",94.0,12,https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg
